DD  MM YY HH MM SS NS Lat     EW       Lon  K1     K2     K3     K4     K5     K6     K7     K8     K9    K10    K11    K12    K13    K14    K15    K16    K17   Pres    Tpr    Hum    Thm   Tbrd  Ubat
29  7 10   2 20 29 N  4311907 E 13155488   7894   9731   5182   7884  12771   8879   8664  11856  10372   8836  10044   7176   7220   7062  10188   9816   7053      6      5      4      3      2  3.0
29  7 10   2 21 30 N  4311907 E 13155488   7840   9669   5143   7836  12720   8816   8627  11783  10292   8782   9981   7112   7185   7023  10116   9758   7015      6      5      4      3      2  3.0
29  7 10   2 22 31 N  4311907 E 13155488   7892   9718   5186   7868  12658   8834   8614  11829  10296   8815   9995   7154   7186   7024  10151   9769   7028      6      5      4      3      2  3.0
29  7 10   2 23 32 N  4311907 E 13155488   7991   9867   5246   7985  12850   8912   8706  11973  10452   8907  10097   7253   7258   7101  10258   9875   7100      6      5      4      3      2  3.0
29  7 10   2 24 33 N  4311907 E 13155488   7832   9676   5140   7818  12604   8731   8548  11734  10242   8736   9900   7119   7109   6962  10059   9685   6959      6      5      4      3      2  3.0
29  7 10   2 25 34 N  4311907 E 13155488   7891   9751   5190   7890  12648   8801   8583  11837  10320   8805   9973   7208   7165   7015  10151   9753   7010      6      5      4      3      2  3.0
29  7 10   2 26 35 N  4311907 E 13155488   7913   9797   5192   7903  12706   8788   8613  11838  10315   8798   9968   7205   7171   7015  10127   9746   7008      6      5      4      3      2  3.0
29  7 10   2 27 36 N  4311907 E 13155488   7990   9893   5254   7989  12778   8872   8666  11973  10432   8894  10058   7277   7221   7063  10224   9832   7068      6      5      4      3      2  3.0
29  7 10   2 28 37 N  4311907 E 13155488   7983   9879   5259   7986  12741   8874   8639  11959  10435   8899  10056   7271   7217   7066  10244   9835   7073      6      5      4      3      2  3.0
29  7 10   2 29 38 N  4311907 E 13155488   7938   9828   5219   7932  12677   8798   8605  11859  10334   8822   9976   7203   7172   7020  10163   9771   7021      6      5      4      3      2  3.0
29  7 10   2 30 39 N  4311907 E 13155488   8063   9983   5293   8041  12860   8926   8723  12044  10489   8947  10116   7295   7269   7119  10305   9908   7121      6      5      4      3      2  3.0
29  7 10   2 31 40 N  4311907 E 13155488   7978   9885   5235   7955  12731   8836   8640  11923  10369   8852  10013   7227   7193   7037  10190   9799   7043      6      5      4      3      2  3.0
29  7 10   2 32 41 N  4311907 E 13155488   7892   9759   5174   7867  12587   8726   8537  11781  10253   8760   9895   7143   7109   6961  10077   9688   6957      6      5      4      3      2  3.0
29  7 10   2 33 42 N  4311907 E 13155488   7952   9832   5217   7918  12673   8803   8607  11874  10313   8812   9952   7171   7152   7001  10138   9743   7006      6      5      4      3      2  3.0
29  7 10   2 34 43 N  4311907 E 13155488   7911   9791   5194   7890  12626   8775   8591  11823  10260   8778   9922   7128   7146   6991  10103   9720   6983      6      5      4      3      2  3.0
29  7 10   2 35 44 N  4311907 E 13155488   8048   9953   5278   8017  12811   8888   8686  11989  10427   8904  10064   7221   7231   7079  10246   9853   7087      6      5      4      3      2  3.0
29  7 10   2 36 45 N  4311907 E 13155488   7839   9713   5145   7810  12486   8669   8492  11715  10164   8689   9807   7046   7046   6899   9995   9598   6899      6      5      4      3      2  3.0
29  7 10   2 37 46 N  4311907 E 13155488   8109  10034   5314   8054  12830   8913   8720  12049  10455   8943  10093   7295   7257   7104  10291   9898   7117      6      5      4      3      2  3.0
29  7 10   2 38 47 N  4311907 E 13155488   8096  10008   5297   8048  12864   8927   8724  12054  10483   8948  10104   7261   7267   7102  10285   9896   7111      6      5      4      3      2  3.0
29  7 10   2 39 48 N  4311907 E 13155488   8138  10069   5332   8097  12884   8942   8732  12105  10514   8974  10136   7310   7281   7125  10331   9935   7140      6      5      4      3      2  3.0
